time	V(ch1)	V(ch2)	V(n001)	V(n003)
Step Information: Rl=10  (Step: 1/46)
1.365539352441756e-02	5.525884e+00	4.222200e+00	4.874042e+00	-6.518421e-01
1.371398727441756e-02	5.269710e+00	3.971849e+00	4.620780e+00	-6.489302e-01
1.377258102441756e-02	5.005969e+00	3.714472e+00	4.360220e+00	-6.457483e-01
1.383117477441756e-02	4.735014e+00	3.450498e+00	4.092756e+00	-6.422582e-01
1.388976852441756e-02	4.457206e+00	3.180383e+00	3.818795e+00	-6.384113e-01
1.394836227441756e-02	4.172911e+00	2.904620e+00	3.538765e+00	-6.341453e-01
1.400695602441756e-02	3.882499e+00	2.623743e+00	3.253121e+00	-6.293781e-01
1.406554977441756e-02	3.586348e+00	2.338349e+00	2.962349e+00	-6.239992e-01
1.412414352441756e-02	3.284830e+00	2.049121e+00	2.666975e+00	-6.178544e-01
1.418273727441756e-02	2.978315e+00	1.756874e+00	2.367595e+00	-6.107203e-01
1.424133102441756e-02	2.667158e+00	1.462645e+00	2.064901e+00	-6.022567e-01
1.429992477441756e-02	2.351682e+00	1.167860e+00	1.759771e+00	-5.919111e-01
1.435851852441756e-02	2.032137e+00	8.747309e-01	1.453434e+00	-5.787032e-01
1.441711227441756e-02	1.708603e+00	5.872643e-01	1.147934e+00	-5.606695e-01
1.447570602441756e-02	1.380499e+00	3.161252e-01	8.483123e-01	-5.321872e-01
1.453429977441757e-02	1.045214e+00	9.247864e-02	5.688465e-01	-4.763679e-01
1.457139742473019e-02	8.251578e-01	1.846458e-02	4.218112e-01	-4.033466e-01
1.461585668485746e-02	5.535038e-01	1.112040e-03	2.773079e-01	-2.761959e-01
1.463164118410646e-02	4.563476e-01	3.749407e-04	2.283612e-01	-2.279863e-01
1.465888795485361e-02	2.883817e-01	5.745295e-05	1.442196e-01	-1.441621e-01
1.468821942841927e-02	1.073541e-01	2.299720e-07	5.367715e-02	-5.367693e-02
1.474256951562863e-02	-2.283815e-01	3.082097e-05	-1.141753e-01	1.142061e-01
1.480116326562863e-02	-5.902113e-01	1.661336e-03	-2.942750e-01	2.959363e-01
1.484384340838694e-02	-8.514719e-01	2.341808e-02	-4.140269e-01	4.374450e-01
1.487999009520436e-02	-1.066270e+00	1.034563e-01	-4.814068e-01	5.848631e-01
1.491659706027550e-02	-1.277962e+00	2.390634e-01	-5.194495e-01	7.585129e-01
1.497519081027550e-02	-1.610924e+00	5.040990e-01	-5.534124e-01	1.057511e+00
1.503239835297029e-02	-1.932143e+00	7.848225e-01	-5.736603e-01	1.358483e+00
1.509099210297029e-02	-2.258123e+00	1.080736e+00	-5.886940e-01	1.669430e+00
1.514958585297030e-02	-2.580948e+00	1.381391e+00	-5.997785e-01	1.981170e+00
1.520817960297030e-02	-2.900515e+00	1.682984e+00	-6.087655e-01	2.291749e+00
1.526677335297030e-02	-3.216523e+00	1.983801e+00	-6.163608e-01	2.600162e+00
1.532536710297030e-02	-3.528598e+00	2.282830e+00	-6.228839e-01	2.905714e+00
1.538396085297030e-02	-3.836365e+00	2.579207e+00	-6.285790e-01	3.207787e+00
1.544255460297030e-02	-4.139433e+00	2.872197e+00	-6.336182e-01	3.505815e+00
1.550114835297030e-02	-4.437417e+00	3.161166e+00	-6.381251e-01	3.799291e+00
1.555974210297030e-02	-4.729921e+00	3.445543e+00	-6.421891e-01	4.087732e+00
1.561833585297030e-02	-5.016566e+00	3.724808e+00	-6.458790e-01	4.370687e+00
1.567692960297030e-02	-5.296966e+00	3.998473e+00	-6.492467e-01	4.647719e+00
1.573552335297030e-02	-5.570750e+00	4.266082e+00	-6.523343e-01	4.918416e+00
1.579411710297030e-02	-5.837548e+00	4.527199e+00	-6.551744e-01	5.182373e+00
1.585271085297029e-02	-6.097003e+00	4.781414e+00	-6.577946e-01	5.439209e+00
1.591130460297029e-02	-6.348763e+00	5.028330e+00	-6.602164e-01	5.688547e+00
1.596989835297029e-02	-6.592491e+00	5.267573e+00	-6.624587e-01	5.930032e+00
1.602849210297029e-02	-6.827852e+00	5.498779e+00	-6.645365e-01	6.163316e+00
1.608708585297029e-02	-7.054533e+00	5.721606e+00	-6.664633e-01	6.388070e+00
1.614567960297029e-02	-7.272220e+00	5.935721e+00	-6.682495e-01	6.603971e+00
1.620427335297029e-02	-7.480623e+00	6.140812e+00	-6.699055e-01	6.810717e+00
1.626286710297029e-02	-7.679453e+00	6.336576e+00	-6.714386e-01	7.008014e+00
1.632146085297028e-02	-7.868444e+00	6.522731e+00	-6.728566e-01	7.195587e+00
1.638005460297028e-02	-8.047334e+00	6.699004e+00	-6.741650e-01	7.373169e+00
1.643864835297028e-02	-8.215883e+00	6.865144e+00	-6.753696e-01	7.540513e+00
