time	V(vb)	V(vc)	V(ve)	V(vin)	V(vout)
1.466366919020164e-03	1.582840e+00	8.441433e+00	8.237647e-01	2.097815e-01	-3.294285e-01
1.471249731520164e-03	1.552791e+00	8.529932e+00	7.950965e-01	1.797327e-01	-2.402996e-01
1.476132544020164e-03	1.522531e+00	8.619034e+00	7.662548e-01	1.494727e-01	-1.507647e-01
1.481015356520163e-03	1.492060e+00	8.708738e+00	7.372397e-01	1.190014e-01	-6.082395e-02
1.490780981520163e-03	1.430951e+00	8.888439e+00	6.791806e-01	5.789242e-02	1.187480e-01
1.495663794020163e-03	1.400301e+00	8.978471e+00	6.501247e-01	2.724181e-02	2.084175e-01
1.500546606520163e-03	1.369624e+00	9.068495e+00	6.210929e-01	-3.434423e-03	2.978803e-01
1.505429419020163e-03	1.338951e+00	9.158412e+00	5.921170e-01	-3.410743e-02	3.870385e-01
1.510312231520163e-03	1.308310e+00	9.248123e+00	5.632294e-01	-6.474833e-02	4.757929e-01
1.520077856520163e-03	1.247240e+00	9.426517e+00	5.058496e-01	-1.258186e-01	6.516867e-01
1.529843481520162e-03	1.186643e+00	9.602842e+00	4.492212e-01	-1.864152e-01	8.247400e-01
1.544491919020162e-03	1.097135e+00	9.861545e+00	3.663012e-01	-2.759241e-01	1.077114e+00
1.559140356520162e-03	1.009961e+00	1.011046e+01	2.867184e-01	-3.630972e-01	1.318061e+00
1.568905981520162e-03	9.535092e-01	1.026919e+01	2.360879e-01	-4.195496e-01	1.470603e+00
1.578671606520161e-03	8.986359e-01	1.042063e+01	1.878793e-01	-4.744228e-01	1.615203e+00
1.583554419020161e-03	8.718562e-01	1.049312e+01	1.648439e-01	-5.012025e-01	1.684035e+00
1.588437231520161e-03	8.455482e-01	1.056312e+01	1.426280e-01	-5.275105e-01	1.750229e+00
1.593320044020161e-03	8.197367e-01	1.063031e+01	1.213320e-01	-5.533220e-01	1.813477e+00
1.598202856520161e-03	7.944460e-01	1.069432e+01	1.010802e-01	-5.786127e-01	1.873398e+00
1.603085669020161e-03	7.696998e-01	1.075465e+01	8.203074e-02	-6.033589e-01	1.929509e+00
1.607968481520161e-03	7.455215e-01	1.081065e+01	6.438749e-02	-6.275372e-01	1.981184e+00
1.612851294020161e-03	7.219338e-01	1.086152e+01	4.841516e-02	-6.511249e-01	2.027608e+00
1.617734106520161e-03	6.989590e-01	1.090621e+01	3.444744e-02	-6.740997e-01	2.067758e+00
1.622616919020160e-03	6.766186e-01	1.094344e+01	2.289480e-02	-6.964402e-01	2.100371e+00
1.627499731520160e-03	6.549336e-01	1.097238e+01	1.402484e-02	-7.181251e-01	2.124630e+00
1.632382544020160e-03	6.339245e-01	1.099279e+01	7.912997e-03	-7.391342e-01	2.140314e+00
1.637265356520160e-03	6.136110e-01	1.100585e+01	4.177161e-03	-7.594476e-01	2.148620e+00
1.642148169020160e-03	5.940124e-01	1.101371e+01	2.119901e-03	-7.790464e-01	2.151716e+00
1.647030981520160e-03	5.751469e-01	1.101847e+01	1.064956e-03	-7.979118e-01	2.151705e+00
1.651913794020160e-03	5.570324e-01	1.102159e+01	5.384055e-04	-8.160263e-01	2.150057e+00
1.656796606520160e-03	5.396860e-01	1.102389e+01	2.769608e-04	-8.333728e-01	2.147592e+00
1.661679419020160e-03	5.231238e-01	1.102578e+01	1.455737e-04	-8.499349e-01	2.144728e+00
1.666562231520160e-03	5.073616e-01	1.102747e+01	7.837800e-05	-8.656971e-01	2.141670e+00
1.671445044020159e-03	4.924141e-01	1.102907e+01	4.308868e-05	-8.806446e-01	2.138517e+00
1.676327856520159e-03	4.782955e-01	1.103060e+01	2.422293e-05	-8.947632e-01	2.135318e+00
1.681210669020159e-03	4.650190e-01	1.103211e+01	1.376322e-05	-9.080397e-01	2.132098e+00
1.686093481520159e-03	4.525971e-01	1.103361e+01	7.958655e-06	-9.204616e-01	2.128869e+00
1.690976294020159e-03	4.410416e-01	1.103509e+01	4.541339e-06	-9.320171e-01	2.125637e+00
1.695859106520159e-03	4.303632e-01	1.103656e+01	2.630296e-06	-9.426956e-01	2.122406e+00
1.700741919020159e-03	4.205720e-01	1.103804e+01	1.420613e-06	-9.524867e-01	2.119177e+00
1.705624731520159e-03	4.116773e-01	1.103950e+01	7.928475e-07	-9.613814e-01	2.115951e+00
1.710507544020159e-03	4.036874e-01	1.104097e+01	3.480979e-07	-9.693713e-01	2.112730e+00
1.715390356520158e-03	3.966098e-01	1.104243e+01	1.875253e-07	-9.764488e-01	2.109513e+00
1.720273169020158e-03	3.904513e-01	1.104389e+01	3.558194e-08	-9.826074e-01	2.106300e+00
1.725155981520158e-03	3.852175e-01	1.104535e+01	6.316650e-08	-9.878412e-01	2.103092e+00
1.730038794020158e-03	3.809135e-01	1.104680e+01	3.588693e-08	-9.921452e-01	2.099889e+00
1.734921606520158e-03	3.775432e-01	1.104825e+01	1.486867e-07	-9.955155e-01	2.096690e+00
1.739804419020158e-03	3.751099e-01	1.104970e+01	1.824611e-07	-9.979488e-01	2.093497e+00
1.744687231520158e-03	3.736158e-01	1.105115e+01	3.413422e-07	-9.994429e-01	2.090308e+00
1.749570044020158e-03	3.730624e-01	1.105260e+01	4.129325e-07	-9.999964e-01	2.087124e+00
1.754452856520158e-03	3.734501e-01	1.105404e+01	6.056918e-07	-9.996086e-01	2.083944e+00
1.759335669020158e-03	3.747786e-01	1.105548e+01	7.114070e-07	-9.982801e-01	2.080770e+00
1.764218481520157e-03	3.770466e-01	1.105692e+01	9.420137e-07	-9.960121e-01	2.077600e+00
1.769101294020157e-03	3.802521e-01	1.105836e+01	1.094072e-06	-9.928066e-01	2.074435e+00
1.773984106520157e-03	3.843920e-01	1.105979e+01	1.385168e-06	-9.886667e-01	2.071275e+00
1.778866919020157e-03	3.894624e-01	1.106122e+01	1.620999e-06	-9.835964e-01	2.068120e+00
1.783749731520157e-03	3.954584e-01	1.106265e+01	2.032569e-06	-9.776003e-01	2.064969e+00
1.788632544020157e-03	4.023746e-01	1.106408e+01	2.448196e-06	-9.706841e-01	2.061822e+00
1.793515356520157e-03	4.102044e-01	1.106550e+01	3.135728e-06	-9.628544e-01	2.058680e+00
1.798398169020157e-03	4.189403e-01	1.106692e+01	3.987384e-06	-9.541184e-01	2.055542e+00
1.803280981520157e-03	4.285742e-01	1.106834e+01	5.381859e-06	-9.444845e-01	2.052407e+00
1.808163794020156e-03	4.390971e-01	1.106975e+01	7.410635e-06	-9.339616e-01	2.049274e+00
1.813046606520156e-03	4.504989e-01	1.107116e+01	1.081592e-05	-9.225598e-01	2.046143e+00
1.817929419020156e-03	4.627691e-01	1.107256e+01	1.637022e-05	-9.102896e-01	2.043009e+00
1.822812231520156e-03	4.758959e-01	1.107394e+01	2.611712e-05	-8.971628e-01	2.039867e+00
1.827695044020156e-03	4.898672e-01	1.107530e+01	4.337421e-05	-8.831915e-01	2.036707e+00
